date,hr,open,high,low,close,volume
2020.06.10,17:00,17.908,18,17.789,17.802,3066
2020.06.10,18:00,17.803,17.811,17.724,17.801,3088
2020.06.10,19:00,17.801,17.817,17.595,17.609,2169
2020.06.10,20:00,17.609,17.673,17.545,17.642,2415
2020.06.10,21:00,17.64,18.059,17.574,17.985,9706
2020.06.10,22:00,17.985,18.181,17.949,18.158,5852
2020.06.10,23:00,18.163,18.19,18.075,18.099,1289
2020.06.11,1:00,18.12,18.148,18.024,18.031,1409
2020.06.11,2:00,18.029,18.072,17.954,17.974,1552
2020.06.11,3:00,17.986,18.061,17.957,18.024,1689
2020.06.11,4:00,18.024,18.031,17.864,17.888,3315
2020.06.11,5:00,17.889,17.936,17.861,17.902,2046
2020.06.11,6:00,17.902,17.92,17.886,17.899,1182
2020.06.11,7:00,17.898,17.909,17.855,17.857,1327
2020.06.11,8:00,17.858,17.891,17.775,17.815,2716
2020.06.11,9:00,17.812,17.877,17.777,17.871,3096
2020.06.11,10:00,17.87,17.945,17.827,17.852,1963
2020.06.11,11:00,17.854,17.902,17.841,17.901,1403
2020.06.11,12:00,17.898,17.933,17.854,17.92,1513
2020.06.11,13:00,17.92,17.92,17.865,17.884,930
2020.06.11,14:00,17.884,17.913,17.786,17.891,2556
2020.06.11,15:00,17.895,17.947,17.757,17.889,5538
2020.06.11,16:00,17.891,18.04,17.841,18.011,4170
2020.06.11,17:00,18.013,18.107,17.988,18.029,4125
2020.06.11,18:00,18.029,18.055,17.735,17.813,5557
2020.06.11,19:00,17.812,17.865,17.614,17.64,5764
2020.06.11,20:00,17.635,17.785,17.594,17.732,4740
2020.06.11,21:00,17.729,17.742,17.672,17.68,2166
2020.06.11,22:00,17.676,17.676,17.478,17.616,3116
2020.06.11,23:00,17.617,17.656,17.595,17.645,719
2020.06.12,1:00,17.663,17.701,17.642,17.699,868
2020.06.12,2:00,17.699,17.703,17.623,17.626,830
2020.06.12,3:00,17.623,17.695,17.567,17.65,2291
2020.06.12,4:00,17.652,17.668,17.395,17.467,6804
2020.06.12,5:00,17.469,17.492,17.437,17.454,2614
2020.06.12,6:00,17.454,17.527,17.452,17.512,1704
2020.06.12,7:00,17.512,17.542,17.509,17.542,778
2020.06.12,8:00,17.543,17.598,17.498,17.584,1844
2020.06.12,9:00,17.585,17.652,17.561,17.594,3390
2020.06.12,10:00,17.594,17.643,17.522,17.635,2191
2020.06.12,11:00,17.631,17.679,17.615,17.657,1649
2020.06.12,12:00,17.656,17.679,17.589,17.592,1578
2020.06.12,13:00,17.591,17.652,17.589,17.636,1602
2020.06.12,14:00,17.638,17.671,17.586,17.666,1293
2020.06.12,15:00,17.666,17.692,17.566,17.632,2602
2020.06.12,16:00,17.629,17.753,17.6,17.722,3261
2020.06.12,17:00,17.721,17.731,17.561,17.565,6950
2020.06.12,18:00,17.567,17.589,17.396,17.538,6189
2020.06.12,19:00,17.537,17.567,17.482,17.516,3447
2020.06.12,20:00,17.515,17.516,17.39,17.439,3092
2020.06.12,21:00,17.437,17.5,17.414,17.478,2973
2020.06.12,22:00,17.477,17.505,17.456,17.474,2381
2020.06.12,23:00,17.475,17.517,17.473,17.473,737
2020.06.15,1:00,17.462,17.534,17.428,17.491,2144
2020.06.15,2:00,17.492,17.526,17.459,17.521,989
2020.06.15,3:00,17.519,17.553,17.489,17.521,2135
2020.06.15,4:00,17.527,17.544,17.473,17.487,5279
2020.06.15,5:00,17.488,17.509,17.321,17.4,3170
2020.06.15,6:00,17.399,17.421,17.302,17.373,2568
2020.06.15,7:00,17.37,17.389,17.35,17.358,1279
2020.06.15,8:00,17.359,17.361,17.135,17.159,3702
2020.06.15,9:00,17.157,17.208,17.065,17.192,4449
2020.06.15,10:00,17.192,17.231,17.095,17.225,2143
2020.06.15,11:00,17.226,17.277,17.189,17.256,1938
2020.06.15,12:00,17.255,17.257,17.132,17.209,2960
2020.06.15,13:00,17.209,17.212,17.119,17.123,2382
2020.06.15,14:00,17.124,17.232,17.091,17.194,1531
2020.06.15,15:00,17.195,17.195,16.976,17.067,5739
2020.06.15,16:00,17.069,17.09,16.949,17.072,5108
2020.06.15,17:00,17.074,17.265,17.066,17.221,6173
2020.06.15,18:00,17.222,17.279,17.21,17.259,3895
2020.06.15,19:00,17.26,17.349,17.244,17.327,2256
2020.06.15,20:00,17.324,17.351,17.27,17.321,2084
2020.06.15,21:00,17.321,17.436,17.321,17.4,4300
2020.06.15,22:00,17.396,17.46,17.341,17.399,2578
2020.06.15,23:00,17.403,17.408,17.364,17.372,945
2020.06.16,1:00,17.378,17.444,17.378,17.425,928
2020.06.16,2:00,17.426,17.435,17.367,17.383,884
2020.06.16,3:00,17.383,17.413,17.353,17.406,1439
2020.06.16,4:00,17.408,17.409,17.282,17.33,3839
2020.06.16,5:00,17.331,17.451,17.331,17.434,4285
2020.06.16,6:00,17.433,17.443,17.343,17.346,1756
2020.06.16,7:00,17.345,17.357,17.305,17.329,1147
2020.06.16,8:00,17.326,17.428,17.326,17.339,1954
2020.06.16,9:00,17.34,17.363,17.294,17.323,4261
2020.06.16,10:00,17.323,17.442,17.321,17.412,3043
2020.06.16,11:00,17.41,17.514,17.406,17.422,2981
2020.06.16,12:00,17.423,17.443,17.4,17.425,1852
2020.06.16,13:00,17.424,17.436,17.388,17.408,1359
2020.06.16,14:00,17.408,17.433,17.342,17.356,2284
2020.06.16,15:00,17.358,17.452,17.293,17.432,5408
2020.06.16,16:00,17.434,17.572,17.295,17.539,5840
2020.06.16,17:00,17.539,17.571,17.391,17.442,9223
2020.06.16,18:00,17.442,17.481,17.369,17.405,5283
2020.06.16,19:00,17.409,17.508,17.395,17.484,2552
2020.06.16,20:00,17.484,17.534,17.465,17.495,2305
2020.06.16,21:00,17.496,17.508,17.444,17.445,1727
2020.06.16,22:00,17.447,17.465,17.403,17.464,1809
2020.06.16,23:00,17.462,17.471,17.452,17.455,433
2020.06.17,1:00,17.441,17.447,17.416,17.446,429
2020.06.17,2:00,17.446,17.497,17.446,17.482,521
2020.06.17,3:00,17.483,17.522,17.438,17.473,1179
2020.06.17,4:00,17.472,17.485,17.38,17.395,2534
2020.06.17,5:00,17.396,17.4,17.33,17.363,2082
2020.06.17,6:00,17.364,17.392,17.351,17.352,1183
2020.06.17,7:00,17.352,17.383,17.35,17.364,684
2020.06.17,8:00,17.364,17.483,17.336,17.451,1784
2020.06.17,9:00,17.45,17.458,17.408,17.429,2519
2020.06.17,10:00,17.432,17.467,17.403,17.442,2512
2020.06.17,11:00,17.442,17.472,17.421,17.44,1838
2020.06.17,12:00,17.439,17.475,17.408,17.444,2601
2020.06.17,13:00,17.444,17.493,17.436,17.493,1766
2020.06.17,14:00,17.493,17.512,17.429,17.434,1884
2020.06.17,15:00,17.437,17.519,17.424,17.502,2315
2020.06.17,16:00,17.503,17.535,17.426,17.499,5281
2020.06.17,17:00,17.5,17.576,17.427,17.541,4280
2020.06.17,18:00,17.53,17.558,17.475,17.496,3318
2020.06.17,19:00,17.496,17.551,17.483,17.528,1376
2020.06.17,20:00,17.528,17.611,17.528,17.562,1981
2020.06.17,21:00,17.562,17.566,17.51,17.52,1269
2020.06.17,22:00,17.519,17.547,17.481,17.534,1446
2020.06.17,23:00,17.534,17.534,17.49,17.492,809
2020.06.18,1:00,17.483,17.517,17.462,17.49,568
2020.06.18,2:00,17.49,17.508,17.457,17.488,589
2020.06.18,3:00,17.488,17.513,17.439,17.471,1300
2020.06.18,4:00,17.471,17.527,17.454,17.462,2925
2020.06.18,5:00,17.46,17.485,17.44,17.475,1682
2020.06.18,6:00,17.476,17.5,17.461,17.493,1354
2020.06.18,7:00,17.494,17.503,17.479,17.483,916
2020.06.18,8:00,17.482,17.547,17.48,17.547,1151
2020.06.18,9:00,17.547,17.584,17.504,17.515,1935
2020.06.18,10:00,17.513,17.614,17.507,17.6,1129
